Var_Name,Var_Label
F3BYPNLWT,"Panel weight, BY and F3 (2002 and 2012)"
STU_ID,Analysis case ID
STU_ID,Student ID
SCH_ID,School ID
SCH_ID,School ID of course school
STRAT_ID,Stratum
PSU,Primary sampling unit
F1SCH_ID,Link to first follow-up school (only ELS SCH_ID)
F1UNIV1,Sample member status in BY and F1 rounds
F1UNIV2A,Base year status and how sample member entered F1 sample
F1UNIV2B,Sample member F1 status
F2UNIV_P,Sample member status in first 3 rounds
F3UNIV,Cross-round sample member status summary (BY to F3)
F3UNIVG10,Cross-round sample member status summary (BY to F3) specific to 10th grade cohort
F3UNIVG12,Cross-round sample member status summary (BY to F3) specific to 12th grade cohort
G10COHRT,Sophomore cohort member in 2001-2002 school year
G12COHRT,Spring 2004 senior cohort member
BY10FLP,Grade 10 percent free lunch-categorical
BYA04,Way of teaching students with different abilities
BYA05,Crime in students^ neighborhood
BYA06,Type of academic calendar
BYA07,# of days in school year for 10th graders
BYA08,# class periods in day for 10th graders
BYA09,# of minutes of average 10th grade class period
BYA10,Typical semester class load for 10th graders
BYA11,School is coeducational
BYA12A,% in school-sponsored community service
BYA12B,% in work study program
BYA12C,% in academic counseling program
BYA12D,% in vocational counseling program
BYA12E,% in dropout prevention program
BYA12F,% in gang prevention program
BYA12G,% in alcohol/drug prevention program
BYA12H,% in AIDS education program
BYA12I,% in crisis prevention program
BYA13,When parents notified of absences
BYA14A,% 10th graders in general high school program
BYA14B,% 10th graders in college prep program
BYA14C,% 10th graders in other specialized programs
BYA14D,% 10th graders in voc/tech/business program
BYA14E,% 10th graders in special ed program
BYA14F,% 10th graders in alternative program
BYA14G,% 10th graders receive bilingual education
BYA14H,% 10th graders receive ESL
BYA14I,% 10th graders receive remedial reading
BYA14J,% 10th graders receive remedial math
BYA14K,% 10th graders in after school/summer outreach
BYA15A,Students develop career plan
BYA15B,Students select career major/pathway
BYA15C,Students in program to prepare for college
BYA16,Vocational-technical programs offered
BYA17A,Agriculture/renewable resource courses offered
BYA17B,Business courses offered
BYA17C,Marketing/distribution courses offered
BYA17D,Health care courses offered
BYA17E,Public/protective service courses offered
BYA17F,Construction courses offered
BYA17G,Mechanics and repair courses offered
BYA17H,Precisions production courses offered
BYA17I,Trade/industry/transportation courses offered
BYA17J,Computer technology courses offered
BYA17K,Communication technology courses offered
BYA17L,Other technology courses offered
BYA17M,Food service and hospitality courses offered
BYA17N,Child care/education courses offered
BYA17O,Personal and other services courses offered
BYA17P,Other occupational courses offered
BYA17Q,Family/consumer sciences courses offered
BYA17R,Industrial arts/technology courses offered
BYA18A,Cooperative education offered to 10th graders
BYA18B,Internships offered to 10th graders
BYA18C,Job shadowing offered to 10th graders
BYA18D,Mentoring offered to 10th graders
BYA18E,Community service offered to 10th graders
BYA18F,School-based enterprise offered to 10th graders
BYA19AA,Baseball offered to males
BYA19AB,Baseball offered to females
BYA19BA,Softball offered to males
BYA19BB,Softball offered to females
BYA19CA,Basketball offered to males
BYA19CB,Basketball offered to females
BYA19DA,Football offered to males
BYA19DB,Football offered to females
BYA19EA,Soccer offered to males
BYA19EB,Soccer offered to females
BYA19FA,Swim team offered to males
BYA19FB,Swim team offered to females
BYA19GA,Ice hockey offered to males
BYA19GB,Ice hockey offered to females
BYA19HA,Field hockey offered to males
BYA19HB,Field hockey offered to females
BYA19IA,Volleyball offered to males
BYA19IB,Volleyball offered to females
BYA19JA,Lacrosse offered to males
BYA19JB,Lacrosse offered to females
BYA19KA,Tennis offered to males
BYA19KB,Tennis offered to females
BYA19LA,Cross-country offered to males
BYA19LB,Cross-country offered to females
